Timestamp,"Bread Company, Urbana (Goodwin Avenue, near Krannert Center)","Manolo’s Pizza and Empanadas, Urbana (Oregon and Goodwin)","Murphy’s Pub, Champaign (Green Street)","Caffe Bene, Urbana (Gregory Street) and Champaign (Green Street)","Cocomero, Champaign (Wright Street)","Cracked on Green, Champaign (um, Green Street)","Mid Summer Lounge, Champaign (Green Street)","Maize, Champaign (Green and First Street)","Oozu Ramen, Champaign (Sixth Street)","Insomnia Cookies, Champaign (John Street)","Boba, boba, boba","Sakanaya, Champaign (Green Street)","Signature Grill, Champaign (Green Street)","Shawarma Joint, Champaign (Green Street)","Just Bee Acai, Illini Union"
4/14/2023 16:36:52,3,3,5,3,4,3,5,5,3,4,3,5,5,3,4
4/14/2023 16:37:36,4,3,5,5,2,1,1,4,4,3,5,5,5,5,3
4/14/2023 16:38:00,3,3,3,4,3,3,5,3,1,3,3,4,3,3,3
4/14/2023 16:38:16,4,4,4,4,3,3,4,5,5,3,3,4,3,2,3
4/14/2023 16:38:33,3,4,3,4,5,2,5,2,4,3,4,4,3,2,3
4/14/2023 16:38:43,3,3,5,4,5,3,3,3,5,3,3,5,3,3,3
4/14/2023 16:39:05,4,4,4,5,3,4,2,3,4,3,3,5,3,5,3
4/14/2023 16:39:18,4,4,4,4,5,5,3,4,4,5,5,5,3,3,4
4/14/2023 16:39:56,3,4,4,4,5,3,5,3,5,4,3,4,4,3,3
4/14/2023 16:40:23,3,4,4,4,3,3,4,4,4,3,3,3,4,4,3
4/14/2023 16:42:07,5,3,4,3,3,3,3,4,4,3,3,3,3,3,3
4/14/2023 16:44:25,3,4,4,3,2,2,4,3,2,5,2,4,3,2,2
4/14/2023 16:44:58,5,1,1,4,3,1,5,1,5,5,5,5,1,1,1
4/14/2023 16:46:29,4,4,3,3,4,3,4,3,3,4,3,5,4,4,4
4/14/2023 16:47:17,5,3,4,4,3,3,4,4,3,5,4,3,1,2,3
4/14/2023 16:47:51,3,5,3,5,3,3,5,3,5,5,4,4,1,2,3
4/14/2023 16:48:35,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3
4/14/2023 16:48:49,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3
4/14/2023 16:51:05,4,3,2,4,4,3,4,3,3,3,4,5,3,3,4
4/14/2023 16:51:08,5,3,4,3,4,4,4,4,2,4,3,3,3,3,3
4/14/2023 16:51:13,3,3,3,4,3,3,5,3,5,3,3,5,3,3,3
4/14/2023 16:51:37,4,3,3,5,5,3,2,2,4,4,3,5,3,3,3
4/14/2023 16:55:37,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3
4/14/2023 16:58:20,3,3,4,3,4,3,5,4,4,4,5,5,4,3,2
4/14/2023 17:00:24,3,3,4,2,4,3,3,2,2,3,4,5,2,1,3
4/14/2023 17:02:36,4,4,3,5,5,4,5,3,4,5,5,4,3,2,3
4/14/2023 17:02:58,4,3,4,3,5,4,4,5,5,4,5,5,4,3,4
4/14/2023 17:04:32,1,3,4,4,3,3,3,4,4,5,4,3,2,3,4
4/14/2023 17:04:47,3,3,3,3,3,3,3,2,1,3,3,5,5,5,3
4/14/2023 17:05:53,5,4,4,4,4,3,3,3,2,3,2,3,3,4,3
4/14/2023 17:07:48,4,1,3,4,5,1,5,3,5,3,1,3,1,1,1
4/14/2023 17:07:53,3,5,4,4,5,2,4,4,3,3,3,5,3,2,2
4/14/2023 17:12:00,2,3,4,3,4,2,5,3,4,3,3,5,3,3,5
4/14/2023 17:12:24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/14/2023 17:17:02,4,3,2,4,3,3,3,4,4,4,3,3,3,3,4
4/14/2023 17:19:19,3,5,4,3,4,4,1,3,2,4,3,5,5,5,3
4/14/2023 17:26:47,5,5,3,1,1,3,3,4,5,3,3,5,3,3,3
4/14/2023 17:27:38,3,3,3,5,3,3,5,3,5,3,5,5,3,3,3
4/14/2023 17:31:45,1,1,3,3,3,2,4,3,2,1,2,4,2,4,2
4/14/2023 17:32:11,2,3,4,5,5,4,3,4,5,5,4,5,5,3,3
4/14/2023 17:42:29,3,3,4,5,3,3,3,4,4,5,5,5,3,3,3
4/14/2023 17:55:23,3,3,4,5,4,2,5,4,2,3,3,3,3,5,4
4/14/2023 17:55:32,3,3,3,1,4,3,3,3,1,3,4,5,3,3,3
4/14/2023 17:57:53,5,3,4,3,4,4,3,3,2,4,3,3,3,3,3
4/14/2023 18:11:52,3,4,3,4,4,3,3,3,3,4,4,5,3,3,3
4/14/2023 18:42:53,5,5,4,2,5,4,4,3,2,5,1,5,4,2,4
4/14/2023 19:34:20,4,3,3,2,4,3,3,2,4,3,3,4,3,4,3
4/14/2023 20:17:43,3,3,4,4,3,3,3,3,2,3,3,4,3,3,3
4/14/2023 22:47:12,3,2,4,2,4,4,4,3,2,2,2,5,4,4,2
4/14/2023 23:57:25,3,2,3,3,3,3,4,3,3,3,3,4,3,4,3
