V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.025221052984605,3.0,3.792112851330743,3.0,3.8575968705950343,3.0,5.0,3.8749599658152256,3.0,4.0,3.545551138583237,5.0,5.0,3.0,3.3940172561097324
4.0,3.5514218994056344,5.0,5.0,2.0,3.6151205147494827,1.0,3.6303297573051845,4.0,3.961516593453632,3.6295012569988105,5.0,3.5803821820587505,5.0,3.0
3.0,3.0,2.949535168841908,3.126782552333665,3.0,3.0,2.840949658827743,2.9756989379540775,1.0,3.0,2.7213811873529723,4.0,3.0,2.8280127413777203,3.0
3.6099424862835825,4.0,3.4261743731308947,3.618173533304118,3.71744097122646,3.299543983524566,3.5409220435896716,5.0,3.3367038317206807,3.0,3.0,4.224362692715572,3.1835398643218458,2.0,3.0468608266537354
3.9877425752082503,3.554809273007874,3.7663567134993525,3.9464567114837554,5.0,3.66264276258374,5.0,3.903598392187335,3.7867549759520904,3.0,4.0,4.6482748224870365,3.456879362113299,2.0,3.3654168718691295
3.0,3.0,5.0,4.0,3.808168214525959,3.4323860939682485,3.0,3.0,5.0,3.7821703499866115,3.0,5.0,3.0,3.0,3.085245343545912
3.532325009878488,3.4401082269476353,4.0,5.0,3.0,4.0,3.2364510983369406,3.0,4.0,3.0,3.379911118739519,4.311937652172033,3.0,3.4681443066603164,3.0
4.054095692501483,3.8581249776921154,4.0,4.358944492133566,5.0,3.933270831519128,3.0,4.0,3.995805025681531,4.22169595092548,5.0,4.798134921261033,3.0,3.552957474126829,3.5758111298358464
3.0,4.0,3.815179954951357,4.0,3.8889064225272976,3.574524558208692,3.6361688404699786,3.806725707711965,5.0,3.856649958743756,3.600856658661877,4.0,4.0,3.0,3.0
3.0,3.3777173293977842,3.601216200641598,4.0,3.0,3.3158132122560664,3.3590974897312544,3.3629550750276236,3.468877384776002,3.6264007250635775,3.230756675076045,4.308162217624581,3.4622924045651318,4.0,3.0383350131226
3.2318823086990864,2.889707187275992,3.0718611636924504,3.0,3.0999036890346177,2.866335427241943,3.1506144883736837,3.1077168190634525,2.930909499710833,3.0,2.8659137339814005,3.834218821067813,3.0,3.0,3.0
3.11441489085584,2.815653561502506,2.9970273386858497,3.0,2.0,2.0,4.0,2.787945575362008,2.0,5.0,2.0,3.6965253041970554,3.0,2.7911862649034425,2.477065838578686
3.083433808989461,1.0,3.1370813898780265,3.1822305799153474,3.29049085750226,2.8731179546443,5.0,1.0,3.010615003748066,5.0,5.0,5.0,1.0,2.6911936360125113,1.0
3.5670653580931804,3.365897398220409,3.0,3.7534857234384718,4.0,3.0,3.4324960301668526,3.463505574260227,3.0,3.5968038355970258,3.0,4.297561172845116,4.0,4.0,4.0
5.0,3.0,4.0,4.0,3.3714441645525306,3.2217224273961036,4.0,3.4148965105962663,3.0,5.0,3.236559067787442,3.0,1.0,2.0,3.0
3.9078241715683886,5.0,3.9191967937743457,4.187124194411828,3.0,3.720315887636888,3.6075715797049055,3.0,3.6412699460562945,5.0,3.650483532959904,4.0,3.5892462496997695,3.591065710666893,3.0
3.0,3.0,3.2843927075575596,3.667659291399157,3.3447463807478224,3.0,3.0,3.0,3.0,3.4101854137983114,3.0318002392949253,4.0,3.0,4.0,2.8419056044392796
4.0,3.0698004560394274,3.0,3.0,3.42837153126357,3.0,3.366002754143704,4.0,3.0552801126059252,3.0,3.0,3.0,3.198333155277793,3.189447800525813,2.919075597826017
4.0,3.174041001899093,2.0,4.0,3.511511810194617,3.0,4.0,3.0,3.0,3.0,3.0998767697443923,4.0928087394972135,3.0905787046201465,3.0,4.0
5.0,3.6155871389955894,4.0,4.124336642530758,4.0,4.0,4.0,4.0,3.7407575713359953,4.0,3.0,4.495072415320807,3.529546856250756,3.0,3.0
3.3946660431945284,3.0,3.0,4.0,3.5435361864990185,3.0,3.3966904449266804,3.0,5.0,3.559862300896833,3.0,5.0,3.0,3.0,3.0
3.2149270415208058,3.0,3.1406951466331354,5.0,3.1231427877852935,3.0,2.0,3.1661329415882196,3.2558666665033433,3.4038621782844327,3.0,3.889100043949497,3.0,3.0,2.8242068448687245
3.0,2.973775558229295,3.0,3.447484734558562,3.0,3.0,3.0,3.1965009970839753,4.0,3.0,3.0,3.914197549927618,3.0,2.953562535668369,3.0
3.0,3.0,4.0,3.0,3.6872730420332536,3.248512012594303,5.0,4.0,4.0,3.530444967479168,3.2310699534063714,4.18255160473031,3.1360763920858474,3.0,2.0
3.0,3.0,3.067295926667949,2.0,4.0,3.0,3.0,3.022341206682183,2.961382984145554,3.133738071457179,4.0,5.0,2.0,1.0,3.0
4.0,4.0,3.0,5.0,3.9230709029038247,3.6989775823660347,3.619304842392404,3.0,4.0,5.0,3.7620456871860473,4.0,3.0,3.617535712532733,3.3997929966160036
4.3103262554396,3.0,4.0,4.660481409307342,4.5501926471663205,4.0,4.0,5.0,5.0,4.342767982908302,5.0,5.0,4.0,3.7534530791445633,4.0
1.0,2.863928740445444,2.990144598594733,4.0,3.0773591253754264,3.0,3.0,2.8392489049207583,3.2046600330455632,5.0,2.9685600529611627,3.780872362935454,2.0,3.0,2.472972761749881
3.420494960273009,3.2009236300104273,3.0,3.0,3.0,3.0,3.147553317234451,2.0,1.0,3.0,3.0,5.0,5.0,5.0,2.912284181910686
5.0,3.5376340210781265,4.0,4.0,3.5256265075869013,3.4024304488343717,3.4160635393696848,3.0,2.0,3.811820921419015,3.2389899213226556,4.200240840536623,3.0,3.2521616764157493,3.1004006160983524
4.0,1.0,3.0,3.17851201881515,5.0,2.703149298031348,2.841457289260399,3.0,5.0,2.981249001067137,1.0,3.0,2.5635821824142866,2.837812350036445,1.0
3.850959131678821,5.0,3.713184915392982,4.0,3.94575211446445,3.532128921276937,4.0,3.630134426472703,3.6442382677563265,3.83355543174641,3.0,5.0,3.0,2.0,3.3431817888816036
3.8904558807153107,3.5462001023202347,3.8850255628760855,3.0,4.128800849145945,3.6196475230718064,5.0,3.83037220504146,3.6509424746129135,3.0,3.6696178801521495,5.0,3.0,3.533378139370357,3.3739457095028076
3.0,3.0,3.1052107707677012,3.41573701954982,3.1662757854316617,2.7942975925885967,3.0,3.0,3.2572478540133933,3.151765398455746,2.8309141298870677,3.919290243644314,3.0,2.9684520320956835,2.617212107536484
3.2350862583759468,3.0,2.0,4.0,3.2030401615508266,3.0,3.243094568241178,4.0,3.052327641286316,3.321713476676764,3.0,3.0,3.0,3.0,2.7968519062420834
3.763266030211358,5.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,3.6655546011408116,3.382158470423328,5.0,5.0,3.6230535267291946,3.2047845392286596
5.0,2.9244302767333954,3.2235877966237223,3.7039518293082008,1.0,3.0,3.1292244580355977,4.0,3.158670487308212,3.5252965422140856,3.0417351663201324,3.8691884625416813,2.935059612126981,3.0029548463919644,3.0
3.0,3.5809619749560073,4.083872441186769,5.0,4.134855965677268,3.0,3.6244834769166965,3.988418266259297,5.0,4.181479590175291,3.744570534358817,4.74228976788692,3.759514454335363,3.891909177337531,3.427311183314144
2.789678492706829,2.341929151415861,3.0,3.0,3.0,2.381753820023184,2.42842742692764,3.0,2.0,1.0,2.0,4.0,2.0,2.601211464041334,2.0
3.9833022747105016,3.0,4.0,5.0,5.0,3.896498095444955,3.0,4.1205390301436635,5.0,4.176696798564306,3.962535160335584,5.0,5.0,3.0,3.0
3.0,3.0,4.0,5.0,3.9130424497716354,3.6548841775036127,3.0,4.0,4.0,3.968336416898374,5.0,5.0,3.0,3.606938455075465,3.0
