V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
,3.0,,3.0,,3.0,5.0,,3.0,4.0,,5.0,5.0,3.0,
4.0,,5.0,5.0,2.0,,1.0,,4.0,,,5.0,,5.0,3.0
3.0,3.0,,,3.0,3.0,,,1.0,3.0,,4.0,3.0,,3.0
,4.0,,,,,,5.0,,3.0,3.0,,,2.0,
,,,,5.0,,5.0,,,3.0,4.0,,,2.0,
3.0,3.0,5.0,4.0,,,3.0,3.0,5.0,,3.0,5.0,3.0,3.0,
,,4.0,5.0,3.0,4.0,,3.0,4.0,3.0,,,3.0,,3.0
,,4.0,,5.0,,3.0,4.0,,,5.0,,3.0,,
3.0,4.0,,4.0,,,,,5.0,,,4.0,4.0,3.0,3.0
3.0,,,4.0,3.0,,,,,,,,,4.0,
,,,3.0,,,,,,3.0,,,3.0,3.0,3.0
,,,3.0,2.0,2.0,4.0,,2.0,5.0,2.0,,3.0,,
,1.0,,,,,5.0,1.0,,5.0,5.0,5.0,1.0,,1.0
,,3.0,,4.0,3.0,,,3.0,,3.0,,4.0,4.0,4.0
5.0,3.0,4.0,4.0,,,4.0,,3.0,5.0,,3.0,1.0,2.0,3.0
,5.0,,,3.0,,,3.0,,5.0,,4.0,,,3.0
3.0,3.0,,,,3.0,3.0,3.0,3.0,,,4.0,3.0,4.0,
4.0,,3.0,3.0,,3.0,,4.0,,3.0,3.0,3.0,,,
4.0,,2.0,4.0,,3.0,4.0,3.0,3.0,3.0,,,,3.0,4.0
5.0,,4.0,,4.0,4.0,4.0,4.0,,4.0,3.0,,,3.0,3.0
,3.0,3.0,4.0,,3.0,,3.0,5.0,,3.0,5.0,3.0,3.0,3.0
,3.0,,5.0,,3.0,2.0,,,,3.0,,3.0,3.0,
3.0,,3.0,,3.0,3.0,3.0,,4.0,3.0,3.0,,3.0,,3.0
3.0,3.0,4.0,3.0,,,5.0,4.0,4.0,,,,,3.0,2.0
3.0,3.0,,2.0,4.0,3.0,3.0,,,,4.0,5.0,2.0,1.0,3.0
4.0,4.0,3.0,5.0,,,,3.0,4.0,5.0,,4.0,3.0,,
,3.0,4.0,,,4.0,4.0,5.0,5.0,,5.0,5.0,4.0,,4.0
1.0,,,4.0,,3.0,3.0,,,5.0,,,2.0,3.0,
,,3.0,3.0,3.0,3.0,,2.0,1.0,3.0,3.0,5.0,5.0,5.0,
5.0,,4.0,4.0,,,,3.0,2.0,,,,3.0,,
4.0,1.0,3.0,,5.0,,,3.0,5.0,,1.0,3.0,,,1.0
,5.0,,4.0,,,4.0,,,,3.0,5.0,3.0,2.0,
,,,3.0,,,5.0,,,3.0,,5.0,3.0,,
3.0,3.0,,,,,3.0,3.0,,,,,3.0,,
,3.0,2.0,4.0,,3.0,,4.0,,,3.0,3.0,3.0,3.0,
,5.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,,,5.0,5.0,,
5.0,,,,1.0,3.0,,4.0,,,,,,,3.0
3.0,,,5.0,,3.0,,,5.0,,,,,,
,,3.0,3.0,3.0,,,3.0,2.0,1.0,2.0,4.0,2.0,,2.0
,3.0,4.0,5.0,5.0,,3.0,,5.0,,,5.0,5.0,3.0,3.0
3.0,3.0,4.0,5.0,,,3.0,4.0,4.0,,5.0,5.0,3.0,,3.0
3.0,3.0,4.0,,,,,,,3.0,3.0,,,5.0,
,,,,4.0,,,,,3.0,,5.0,,,3.0
,,4.0,,4.0,4.0,,,,4.0,,3.0,,3.0,3.0
3.0,4.0,,,4.0,,3.0,,3.0,4.0,,,,3.0,
5.0,,,,5.0,4.0,4.0,,2.0,,,,4.0,2.0,4.0
4.0,3.0,,2.0,4.0,3.0,3.0,,4.0,,,,3.0,4.0,3.0
,,,4.0,,3.0,,,,,3.0,,3.0,3.0,
3.0,2.0,4.0,2.0,,,,,,,2.0,,,4.0,2.0
,2.0,,3.0,,3.0,,3.0,3.0,,3.0,,,4.0,
